Year,Month,Precipitation,Temperature
2017,January,42.4090615973176,3.6350652952605174
2017,February,51.63389527863472,17.7678419282204
2017,March,83.57542309704104,-10.137967624928763
2017,April,118.73895546874655,-5.836828597184876
2017,May,133.08228131424846,-10.550358114299797
2017,June,159.46230450856962,16.855767976246227
2017,July,238.2881892685705,17.41581656096048
2017,August,199.1121261665439,-0.9879067889120279
2017,September,219.4568568257734,10.170376094112726
2017,October,102.10375723312603,-5.696904372946165
2017,November,122.54167305615971,8.656556055187366
2017,December,102.72565249964445,6.604575021856874
2018,January,100.4745915177618,3.6350652952605174
2018,February,45.81656345029781,17.124056495056323
2018,March,84.53674031426847,-9.819332254663777
2018,April,81.45665339911754,-12.239557688709112
2018,May,127.41929043188021,16.964138466400527
2018,June,157.47761347103224,14.213685083582618
2018,July,117.81945514522272,-6.3129868114675105
2018,August,175.54551007033035,16.796908981381307
2018,September,122.92860896172164,-0.6969255943614598
2018,October,194.8532830391891,9.333195976443733
2018,November,48.570846734276735,14.602144734764522
2018,December,118.18898076365772,2.945498309342895
2019,January,99.66989243931472,16.796908981381307
2019,February,71.76652481241268,-8.108591951642893
2019,March,79.99086408677785,-5.249352416349268
2019,April,150.27291441172247,-13.665160921405118
2019,May,178.8958743274016,18.492079711229906
2019,June,66.0697306734592,16.33515786924761
2019,July,173.33578447470398,-2.4023369294018266
2019,August,128.1737565090727,3.3100550948435625
2019,September,139.54637875666623,-6.145314280015327
2019,October,114.64949388154103,8.97631957122536
2019,November,266.43196139358156,13.348106885277048
2019,December,73.9234100816545,3.1880438184589366
2020,January,33.38898027569937,17.531311397201875
2020,February,67.91438497457682,-9.288169669748072
2020,March,63.576272287086745,-7.2486166891139305
2020,April,66.02969791594106,-6.394168838752648
2020,May,154.89290829100784,17.445387087351435
2020,June,150.0372659165224,15.188072130326361
2020,July,175.85715264049313,-3.313457040481751
2020,August,286.3152787082167,17.531311397201875
2020,September,153.9733556983217,0.8546449050238039
2020,October,168.84498513749398,1.8018353478633458
2020,November,25.07873632064393,15.332541463753728
2020,December,177.78232114207967,-0.6656770645353731
2021,January,80.3048879498981,15.703953153551083
2021,February,51.94540074072688,-7.808979858967007
2021,March,50.15377331981262,-5.786231919648515
2021,April,69.32313896243961,-13.5188494612093
2021,May,170.32623842015846,16.482238712633148
2021,June,97.08897670597524,13.772824995170822
2021,July,226.93766759598765,-2.646047879629748
2021,August,183.08937111767855,4.32343531227815
2021,September,106.99239341243857,-2.112568112270367
2021,October,78.92455606732155,5.009897644676812
2021,November,138.8832878285666,12.882120913449171
2021,December,65.77957610598268,2.513039296651641
2022,January,33.075356211615286,16.606302547416135
2022,February,57.64800126241828,-10.207746747695921
2022,March,28.720565434027083,-7.290474483317439
2022,April,86.08263784953824,-7.089225757016379
2022,May,161.34770152217587,19.08578173358086
2022,June,171.85920916077018,17.474429784037113
2022,July,170.54222962785786,-2.8241207937724084
2022,August,142.01536729484633,12.441038160527853
2022,September,152.13488124625968,-3.490137140793138
2022,October,93.2529948878001,8.403300702357228
2022,November,78.239500555778,9.752187344361573
2022,December,59.02380166401085,-10.207746747695921
2023,January,56.79054014791142,18.703244653496427
2023,February,46.70532487811029,-7.235568671071803
2023,March,73.09791759358309,-7.082829764959456
2023,April,123.44327076371894,-8.80367191716141
2023,May,180.26999004620973,17.1287926735489
2023,June,91.86774570813968,15.291481224756978
2023,July,231.03449750390527,-3.9637090036560494
2023,August,212.22066788448822,8.011701695415354
2023,September,88.839868296407,-6.6981259327261
2023,October,172.17901462296928,10.756807218932067
2023,November,138.82416620599219,15.758003645214956
2023,December,159.84122259031903,2.967797141344022
2024,January,64.65975648380187,18.097064668423002
2024,February,97.14579912866715,-7.643562709024025
2024,March,99.1106280438349,-3.9570137833451895
2024,April,114.03344436852427,-9.545113259432583
2024,May,179.6232664078833,17.96741975077856
2024,June,142.03434756412483,15.02104961286625
2024,July,178.28698416947012,-3.6104824500732207
2024,August,158.97614515684586,18.097064668423002
2024,September,229.919298031603,1.1561658455356678
2024,October,188.60726328171293,5.875079515562163
2024,November,42.057399510031594,9.117356003304394
2024,December,91.03758327592764,-7.643562709024025
2025,January,100.4745915177618,18.703244653496427
2025,February,45.81656345029781,-7.235568671071803
2025,March,84.53674031426847,-3.9570137833451895
2025,April,123.44327076371894,-9.545113259432583
2025,May,180.26999004620973,19.08578173358086
2025,June,91.86774570813968,17.474429784037113
2025,July,178.28698416947012,-2.646047879629748
2025,August,158.97614515684586,4.32343531227815
2025,September,229.919298031603,0.8546449050238039
